period,flow,sector,hs6,primaryValue,quantity_kg
2019,Import,iron_steel_73,730890,438268207,100879565
2019,Import,iron_steel_73,730900,67239955,7911339
2019,Import,iron_steel_73,731010,26404771,4675091
2019,Import,iron_steel_73,731021,8670945,973957
2019,Import,iron_steel_73,731029,195386707,9068615
2019,Import,iron_steel_73,731100,27750664,4468789
2019,Import,iron_steel_73,731815,336883486,49811486
2019,Import,iron_steel_73,731816,155559870,8891748
2019,Import,iron_steel_73,731822,50628338,3438637
2019,Import,iron_steel_73,731823,10130555,558397
2019,Import,iron_steel_73,732690,819434376,116824030
2020,Export,aluminum_76,760110,1114734,193776
2020,Export,aluminum_76,760120,20550396,6063915
2020,Export,aluminum_76,760310,4478080,871706
2020,Export,aluminum_76,760320,259672,29118
2020,Export,aluminum_76,760410,3704169,142996
2020,Export,aluminum_76,760421,2785498,191181
2020,Export,aluminum_76,760429,21864588,1920337
2020,Export,aluminum_76,760511,16771,2066
2020,Export,aluminum_76,760519,3434656,538142
2020,Export,aluminum_76,760521,6176313,238
2020,Export,aluminum_76,760529,5785256,1214691
2020,Export,aluminum_76,760611,4621517,442352
2020,Export,aluminum_76,760612,111006334,9595240
2020,Export,aluminum_76,760691,238787,19168
2020,Export,aluminum_76,760692,1477205,44878
2020,Export,aluminum_76,760711,12578355,2238331
2020,Export,aluminum_76,760719,5863630,266256
2020,Export,aluminum_76,760720,13568732,1159229
2020,Export,aluminum_76,760810,453002,59544
2020,Export,aluminum_76,760820,10633519,1853727
2020,Export,aluminum_76,760900,10437143,852768
2020,Export,aluminum_76,761010,3408287,279204
2020,Export,aluminum_76,761100,2657067,225782
2020,Export,aluminum_76,761210,745384,70929
2020,Export,aluminum_76,761290,24929097,3590091
2020,Export,aluminum_76,761300,21322344,451103
2020,Export,aluminum_76,761410,123231,29948
2020,Export,aluminum_76,761490,389305,36302
2020,Export,aluminum_76,761610,18717682,442796
2020,Export,aluminum_76,761691,2048984,229605
2020,Export,aluminum_76,761699,132063317,6344558
2020,Export,cement_2523,250700,113214134,382931219
2020,Export,cement_2523,252310,105591,175412
2020,Export,cement_2523,252321,197797,316339
2020,Export,cement_2523,252329,57032,175719
2020,Export,cement_2523,252330,55941,91277
2020,Export,cement_2523,252390,779512,2379530
2020,Export,fertilizers,280800,952589,434797
2020,Export,fertilizers,281410,1624909,350474
2020,Export,fertilizers,281420,4450660,2592965
2020,Export,fertilizers,283421,327516,195640
2020,Export,fertilizers,310210,8254660,10226461
2020,Export,fertilizers,310221,1377625,1187812
2020,Export,fertilizers,310229,68783,36349
2020,Export,fertilizers,310250,6341,3000
2020,Export,fertilizers,310260,21573,55000
2020,Export,fertilizers,310280,10262,6000
2020,Export,fertilizers,310290,1447094,484584
2020,Export,fertilizers,310510,4304287,647812
2020,Export,fertilizers,310520,6660092,4014511
2020,Export,fertilizers,310530,44941,59205
2020,Export,fertilizers,310540,90410,23187
2020,Export,fertilizers,310551,74948,22375
2020,Export,fertilizers,310559,694099,619098
